date,close,length,angle
23.34459682,66.73399049,70.69933301,1.234285714
33.33371331,102.7674567,108.0383571,1.257142857
24.05930132,80.39054601,83.91358572,1.28
18.62411557,67.8373492,70.34744933,1.302857143
21.33089469,85.28610681,87.91317923,1.325714286
14.02307074,62.06086394,63.62544574,1.348571429
15.04008936,74.43676453,75.94100474,1.371428571
11.92995156,66.88434636,67.93997006,1.394285714
12.65507283,81.71193858,82.68610388,1.417142857
9.384685037,71.3407433,71.95536094,1.44
7.147515737,65.96062375,66.34674722,1.462857143
7.794648207,91.39215114,91.72394361,1.485714286
3.911246532,62.77546939,62.89719713,1.508571429
3.00189684,76.21328298,76.27237958,1.531428571
1.362952086,82.54256077,82.55381261,1.554285714
-0.42199283,66.49100242,66.49234152,1.577142857
-2.824843242,96.70153874,96.74278957,1.6
-2.811666117,53.95853716,54.03174251,1.622857143
-4.088360468,54.46903184,54.62224932,1.645714286
-5.303404187,54.06788825,54.32736544,1.668571429
-6.509888856,53.70272763,54.09585574,1.691428571
-8.371495591,57.94130545,58.54294847,1.714285714
-10.53327738,62.73615463,63.6142675,1.737142857
-10.19235174,53.22538554,54.19248749,1.76
-12.28622472,57.06617935,58.37379672,1.782857143
-12.80197592,53.48933924,55,1.805714286
-17.58152699,66.68747946,68.96615118,1.828571429
-20.07728727,69.6550054,72.49080798,1.851428571
-19.67374297,62.82255655,65.83106997,1.874285714
-24.2242627,71.57458107,75.56279216,1.897142857
-25.58337204,70.25960615,74.77246272,1.92
-26.96264088,69.09318368,74.16772906,1.942857143
-26.28518239,63.0619068,68.32067698,1.965714286
-28.41913287,64.02052517,70.04480535,1.988571429
-38.12628809,80.85258211,89.39101676,2.011428571
-31.6710951,63.36725336,70.84113962,2.034285714
-44.48604217,84.14162142,95.17783567,2.057142857
-30.51602113,54.65748245,62.59926464,2.08
-42.4401296,72.09265755,83.65713283,2.102857143
-32.74125526,52.81764754,62.14252721,2.125714286
-43.32510179,66.45024118,79.32653401,2.148571429
-40.83069163,59.60116109,72.24571809,2.171428571
-37.23425812,51.77249191,63.77131719,2.194285714
-43.97029044,58.28082761,73.0071319,2.217142857
-51.39460353,64.97759569,82.84620217,2.24
-40.92264071,49.37537896,64.12948285,2.262857143
-41.19614326,47.45463457,62.84158306,2.285714286
-64.92374844,71.42185682,96.52033331,2.308571429
-45.98430435,48.3203227,66.70389668,2.331428571
-45.14558965,45.31826509,63.96772167,2.354285714
-51.41391536,49.30373635,71.23376384,2.377142857
-63.00190921,57.71064912,85.43863052,2.4
-67.77970711,59.29593683,90.05607598,2.422857143
-49.22219857,41.1136778,64.13391719,2.445714286
-52.96286748,42.22112596,67.73247972,2.468571429
-52.25652941,39.73917481,65.65018569,2.491428571
-62.62665502,45.40420518,77.35398999,2.514285714
-61.52116056,42.49200685,74.76913697,2.537142857
-64.43619473,42.36339076,77.11472018,2.56
-69.36738408,43.36775412,81.80828853,2.582857143
-58.52658755,34.75547554,68.06838128,2.605714286
-64.84363448,36.52849137,74.42464386,2.628571429
-58.69119846,31.31756065,66.5240286,2.651428571
-74.9243537,37.80552279,83.92208488,2.674285714
-60.19174291,28.66499328,66.66879146,2.697142857
-63.42249924,28.44398752,69.50880402,2.72
-62.85068234,26.47921197,68.20085731,2.742857143
-62.770982,24.77202764,67.48221643,2.765714286
-62.97505335,23.20354104,67.11379636,2.788571429
-61.83545728,21.19151892,65.36592577,2.811428571
-77.24943459,24.51593173,81.04632042,2.834285714
-77.1820939,22.56636702,80.4134102,2.857142857
-63.5728007,17.02019511,65.8117621,2.88
-86.40912228,21.02998447,88.93141548,2.902857143
-87.08511899,19.09738735,89.15451841,2.925714286
-65.14863295,12.73360256,66.38139054,2.948571429
-72.4468974,12.44824204,73.50858231,2.971428571
-68.94801222,10.23062719,69.70289895,2.994285714
-90.24757745,11.28963661,90.95098202,3.017142857
-69.12458437,7.046810186,69.48284463,3.04
-78.27134586,6.17550089,78.51458714,3.062857143
-81.05504502,4.533943523,81.18175267,3.085714286
-65.74938551,2.171914731,65.78524841,3.108571429
-89.74463891,0.912203296,89.7492748,3.131428571
-110.0245785,-1.396623659,110.0334423,3.154285714
