hour,length,angle
5,335.4750421,0.417660203
6,309.1315786,0.418377832
7,317.8205884,0.419095461
8,339.4752888,0.41981309
9,314.7527506,0.420530719
10,318.9859282,0.421248349
11,310.3246646,0.421965978
12,308.6444789,0.422683607
13,310.285957,0.423401236
14,314.657523,0.424118865
15,379.9127879,0.424836495
16,308.4266199,0.425554124
17,307.2205171,0.426271753
18,308.1268926,0.426989382
19,306.696765,0.427707012
20,307.6699368,0.428424641
21,307.9525369,0.42914227
22,306.6936821,0.429859899
23,317.2317526,0.430577528
0,327.9671293,0.431295158
1,327.5848485,0.432012787
2,326.9758026,0.432730416
3,318.9825028,0.433448045
4,310.0554239,0.434165674
5,316.8861242,0.434883304
6,322.2589507,0.435600933
7,320.8846581,0.436318562
8,329.4287711,0.437036191
9,317.3502734,0.437753821
10,307.2972473,0.43847145
11,323.3557815,0.439189079
12,308.923996,0.439906708
13,323.276996,0.440624337
14,337.6173218,0.441341967
15,307.2832029,0.442059596
16,307.1550909,0.442777225
17,322.6631544,0.443494854
18,321.948947,0.444212483
19,312.979735,0.444930113
20,332.2369593,0.445647742
21,307.5127084,0.446365371
22,339.8942219,0.447083
23,308.7153858,0.44780063
0,322.6867901,0.448518259
1,310.5425236,0.449235888
2,325.933094,0.449953517
3,319.3339545,0.450671146
4,321.365592,0.451388776
5,320.014935,0.452106405
6,311.8109697,0.452824034
7,334.3573161,0.453541663
8,308.6975734,0.454259292
9,323.8110245,0.454976922
10,311.7434882,0.455694551
11,314.9404656,0.45641218
12,310.0386391,0.457129809
13,309.0524506,0.457847439
14,309.390543,0.458565068
15,305.1241385,0.459282697
16,306.0938849,0.460000326
17,306.1301947,0.460717955
18,304.7706315,0.461435585
19,304.5568831,0.462153214
20,307.4644095,0.462870843
21,307.5819026,0.463588472
22,307.106792,0.464306101
23,308.0868147,0.465023731
0,308.0261842,0.46574136
1,310.4150967,0.466458989
2,315.424825,0.467176618
3,317.7589302,0.467894248
4,316.1787677,0.468611877
5,333.1272351,0.469329506
6,344.6110738,0.470047135
7,324.2577038,0.470764764
8,315.3104148,0.471482394
9,324.785224,0.472200023
10,338.1804667,0.472917652
11,310.3061672,0.473635281
12,311.0703863,0.47435291
13,319.7463793,0.47507054
14,318.2813121,0.475788169
15,307.4688626,0.476505798
16,306.7865119,0.477223427
17,308.2060206,0.477941057
18,307.1465273,0.478658686
19,307.4387186,0.479376315
20,307.6418481,0.480093944
21,307.1996218,0.480811573
22,307.9518518,0.481529203
23,324.2717482,0.482246832
0,331.6056479,0.482964461
1,322.6364359,0.48368209
2,308.8880287,0.484399719
3,336.2125426,0.485117349
4,310.1807955,0.485834978
5,310.925832,0.486552607
6,309.7834427,0.487270236
7,316.2996862,0.487987866
8,313.7302523,0.488705495
9,313.4551882,0.489423124
10,307.82511,0.490140753
11,311.9777893,0.490858382
12,321.8694765,0.491576012
13,332.2396997,0.492293641
14,333.4146308,0.49301127
15,308.1429922,0.493728899
16,306.4456791,0.494446528
17,313.2500034,0.495164158
18,326.5678309,0.495881787
19,314.9867092,0.496599416
20,329.5733253,0.497317045
21,310.2684872,0.498034675
22,337.9564419,0.498752304
23,308.1998548,0.499469933
0,307.5294932,0.500187562
1,309.9601962,0.500905191
2,325.1784662,0.501622821
3,320.8082704,0.50234045
4,308.5793952,0.503058079
5,329.947385,0.503775708
6,314.2543469,0.504493337
7,316.4164943,0.505210967
8,335.4353069,0.505928596
9,309.160695,0.506646225
10,313.4873875,0.507363854
11,308.9647589,0.508081484
12,310.9820095,0.508799113
13,318.9475631,0.509516742
14,309.7580944,0.510234371
15,306.6303112,0.510952
16,306.489525,0.51166963
17,307.2708713,0.512387259
18,306.8841374,0.513104888
19,306.5981119,0.513822517
20,307.6144445,0.514540146
21,306.1565707,0.515257776
22,307.2140087,0.515975405
23,325.823822,0.516693034
0,307.0146472,0.517410663
1,326.9473713,0.518128293
2,318.1778633,0.518845922
3,329.8278366,0.519563551
4,308.5396599,0.52028118
5,314.0217585,0.520998809
6,332.3767179,0.521716439
7,306.7844567,0.522434068
8,336.1762328,0.523151697
9,316.3181837,0.523869326
10,333.8554869,0.524586955
11,308.6064563,0.525304585
12,311.4071085,0.526022214
13,337.2384665,0.526739843
14,325.3696066,0.527457472
15,306.3261307,0.528175102
16,306.8769439,0.528892731
17,328.4323062,0.52961036
18,313.3681816,0.530327989
19,319.8248222,0.531045618
20,319.3932149,0.531763248
21,319.1983065,0.532480877
22,322.2171602,0.533198506
23,334.8906595,0.533916135
0,309.3412164,0.534633764
1,322.5621035,0.535351394
2,324.0449831,0.536069023
3,316.0355836,0.536786652
4,387.3515065,0.537504281
5,322.2445638,0.538221911
6,329.0701259,0.53893954
7,314.3345026,0.539657169
8,324.6057301,0.540374798
9,308.171766,0.541092427
10,319.7083567,0.541810057
11,328.081197,0.542527686
12,325.6155543,0.543245315
13,327.2560048,0.543962944
14,339.1711083,0.544680573
15,319.5346862,0.545398203
16,307.9374649,0.546115832
17,306.6549744,0.546833461
18,306.3086609,0.54755109
19,312.3141691,0.54826872
20,326.309209,0.548986349
21,306.3966951,0.549703978
22,332.5897812,0.550421607
23,321.7129331,0.551139236
0,308.2135566,0.551856866
1,323.6250223,0.552574495
2,318.3114561,0.553292124
3,322.3887755,0.554009753
4,319.9567022,0.554727382
5,310.120165,0.555445012
6,334.8718195,0.556162641
7,360.2020334,0.55688027
8,313.7559432,0.557597899
9,330.6088404,0.558315529
10,311.1310168,0.559033158
11,325.4751106,0.559750787
12,307.9556198,0.560468416
13,308.1984846,0.561186045
14,333.6122796,0.561903675
15,306.8978392,0.562621304
16,306.8916734,0.563338933
17,306.967376,0.564056562
18,307.5551841,0.564774191
19,306.8478276,0.565491821
20,306.5032268,0.56620945
21,307.4284422,0.566927079
22,306.9307236,0.567644708
23,307.4818793,0.568362338
0,307.4328953,0.569079967
1,309.3384761,0.569797596
2,316.7323212,0.570515225
3,312.5906033,0.571232854
4,307.2698437,0.571950484
5,306.8697505,0.572668113
6,307.8682707,0.573385742
7,307.7411863,0.574103371
8,311.0505186,0.574821
9,309.5176274,0.57553863
10,308.7246345,0.576256259
11,316.5528274,0.576973888
12,308.4255923,0.577691517
13,308.1433347,0.578409147
14,317.7157694,0.579126776
15,313.8042421,0.579844405
16,307.2208597,0.580562034
17,306.5148733,0.581279663
18,306.2295329,0.581997293
19,307.6120466,0.582714922
20,306.7087541,0.583432551
21,306.7101243,0.58415018
22,307.358563,0.584867809
23,307.0444487,0.585585439
0,307.1496102,0.586303068
1,307.3647288,0.587020697
2,309.5522245,0.587738326
3,323.1923873,0.588455956
4,393.5300001,0.589173585
5,315.2987682,0.589891214
6,351.869956,0.590608843
7,323.5756957,0.591326472
8,327.5334667,0.592044102
9,321.4854829,0.592761731
10,311.3033172,0.59347936
11,325.974542,0.594196989
12,334.7330885,0.594914618
13,324.7108916,0.595632248
14,338.9984654,0.596349877
15,306.9690887,0.597067506
16,306.4258115,0.597785135
17,328.4141512,0.598502765
18,312.9036899,0.599220394
19,312.0099886,0.599938023
20,330.3478207,0.600655652
21,309.3309401,0.601373281
22,332.6055383,0.602090911
23,331.0688791,0.60280854
0,308.1632024,0.603526169
1,325.8909609,0.604243798
2,320.9754326,0.604961427
3,320.0800186,0.605679057
4,322.5812861,0.606396686
5,308.8160942,0.607114315
6,312.4775633,0.607831944
7,331.9362043,0.608549573
8,321.5029527,0.609267203
9,348.3338586,0.609984832
10,307.9415754,0.610702461
11,309.1216448,0.61142009
12,309.5446885,0.61213772
13,316.5514572,0.612855349
14,331.5035693,0.613572978
15,306.7895948,0.614290607
16,307.464067,0.615008236
17,316.7994601,0.615725866
18,321.0367483,0.616443495
19,322.4959922,0.617161124
20,315.8937698,0.617878753
21,317.2817642,0.618596382
22,324.348821,0.619314012
23,326.4585588,0.620031641
0,312.7286491,0.62074927
1,334.2418782,0.621466899
2,309.7813874,0.622184529
3,332.0369127,0.622902158
4,307.7888001,0.623619787
5,332.1139854,0.624337416
6,312.919447,0.625055045
7,321.9660743,0.625772675
8,325.425099,0.626490304
9,309.1014346,0.627207933
10,308.7441596,0.627925562
11,332.5380568,0.628643191
12,320.7120151,0.629360821
13,331.6895715,0.63007845
14,333.761972,0.630796079
15,312.4470767,0.631513708
16,306.7731527,0.632231338
17,313.1904005,0.632948967
18,328.2004028,0.633666596
19,306.5203541,0.634384225
20,335.2383432,0.635101854
21,306.9954647,0.635819484
22,327.7102202,0.636537113
23,326.2821479,0.637254742
0,307.9775427,0.637972371
1,339.0049738,0.63869
2,308.837332,0.63940763
3,332.5716263,0.640125259
4,307.874094,0.640842888
5,327.3529452,0.641560517
6,318.1329899,0.642278147
7,315.5721195,0.642995776
8,342.294781,0.643713405
9,313.4654646,0.644431034
10,307.5551841,0.645148663
11,309.8488689,0.645866293
12,312.7927052,0.646583922
13,344.3469712,0.647301551
14,331.4364304,0.64801918
15,308.1563515,0.648736809
16,306.5398791,0.649454439
17,331.007906,0.650172068
18,310.3993396,0.650889697
19,320.963101,0.651607326
20,321.5971528,0.652324956
21,318.1042161,0.653042585
22,325.6258307,0.653760214
23,325.7652467,0.654477843
0,317.8223011,0.655195472
1,313.3308442,0.655913102
2,338.220202,0.656630731
3,351.8168615,0.65734836
4,357.3541099,0.658065989
5,310.62816,0.658783618
6,307.6781579,0.659501248
7,311.2457696,0.660218877
8,315.3498075,0.660936506
9,334.0723182,0.661654135
10,310.9939986,0.662371765
11,312.4573531,0.663089394
12,308.6879821,0.663807023
13,309.9201184,0.664524652
14,316.7871285,0.665242281
15,311.9281202,0.665959911
16,307.2856008,0.66667754
17,307.1311127,0.667395169
18,307.0211556,0.668112798
19,307.35548,0.668830427
20,307.0793884,0.669548057
21,306.9365469,0.670265686
22,307.8648452,0.670983315
23,362.3648658,0.671700944
0,308.2145842,0.672418574
1,308.8654207,0.673136203
2,308.9801735,0.673853832
3,308.7969116,0.674571461
4,322.8190126,0.67528909
5,306.6768974,0.67600672
6,322.5984133,0.676724349
7,320.8319061,0.677441978
8,334.9509475,0.678159607
9,307.6199252,0.678877236
10,331.8279599,0.679594866
11,308.4773166,0.680312495
12,337.253881,0.681030124
13,335.0855679,0.681747753
14,314.2427004,0.682465383
15,307.2403847,0.683183012
16,306.4912377,0.683900641
17,307.1465273,0.68461827
18,306.5299453,0.685335899
19,307.4431717,0.686053529
20,306.8543359,0.686771158
21,307.2927942,0.687488787
22,306.9533316,0.688206416
23,308.0018634,0.688924045
0,306.4806188,0.689641675
1,308.8986476,0.690359304
2,307.283888,0.691076933
3,321.5824233,0.691794562
4,344.7152077,0.692512192
5,315.2542373,0.693229821
6,309.0829371,0.69394745
7,344.0767028,0.694665079
8,323.7469685,0.695382708
9,306.8241919,0.696100338
10,317.2718304,0.696817967
11,321.930107,0.697535596
12,316.8994834,0.698253225
13,332.9323267,0.698970854
14,318.318307,0.699688484
15,308.1169587,0.700406113
16,306.993752,0.701123742
17,307.3017004,0.701841371
18,307.0680843,0.702559001
19,307.1304276,0.70327663
20,307.2270255,0.703994259
21,307.0249236,0.704711888
22,307.3393804,0.705429517
23,307.2729266,0.706147147
0,307.6353397,0.706864776
1,310.4394174,0.707582405
2,317.2105148,0.708300034
3,307.9237631,0.709017663
4,306.7573956,0.709735293
5,323.0293356,0.710452922
6,306.7663017,0.711170551
7,322.3195813,0.71188818
8,315.022334,0.71260581
9,320.1382514,0.713323439
10,309.8478413,0.714041068
11,334.646082,0.714758697
12,308.3533152,0.715476326
13,307.4140553,0.716193956
14,339.5828481,0.716911585
15,306.3059206,0.717629214
16,307.0228683,0.718346843
17,326.832276,0.719064472
18,314.631147,0.719782102
19,316.0013291,0.720499731
20,322.343902,0.72121736
21,306.7388981,0.721934989
22,307.475371,0.722652619
